Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,Airline,AirTime,ArrDelay,DepDelay,Dest,Distance,TaxiIn,TaxiOut
1,1,2,2146,1955,2245,2055,Southwest,91,110,111,MDW,577,19,9
1,1,2,843,837,1041,1035,United,93,6,6,ATL,533,4,21
1,1,2,1712,1640,1805,1735,United,94,30,32,BNA,542,4,15
1,1,2,1750,1655,1944,1838,United,94,66,55,SAV,515,5,15
1,1,2,1838,1720,1932,1820,Southwest,95,72,78,MDW,577,10,9
1,1,2,1652,1435,1802,1553,United,102,129,137,ORD,589,15,13
1,1,2,1705,1649,1823,1756,United,104,27,16,SPI,657,3,31
1,1,2,1406,1207,1621,1413,United,106,128,119,JAX,631,3,26
1,1,2,1843,1825,1948,1935,United,109,13,18,HSV,595,2,14
1,1,2,1250,1215,1410,1310,United,118,60,35,HSV,595,5,17
1,1,2,1338,1230,1500,1330,Southwest,124,90,68,MDW,577,10,8
1,1,2,1730,1723,1907,1915,Delta,127,-8,7,MSP,908,14,16
1,1,2,1905,1825,2135,2050,JetBlue,130,45,40,MCO,758,4,16
1,1,2,1711,1655,1939,1910,United,132,29,16,MCO,758,4,12
1,1,2,2011,1955,2144,2140,Delta,132,4,16,MSP,908,8,13
1,1,2,1800,1745,2033,2006,United,135,27,15,TPA,810,4,14
1,1,2,615,600,902,835,American,143,27,15,MIA,921,5,19
1,1,2,1701,1650,1952,1926,United,149,26,11,FLL,901,6,16
1,1,2,1459,1440,1755,1720,JetBlue,154,35,19,FLL,901,4,18
1,1,2,1940,1930,2200,2150,American,178,10,10,DFW,1172,7,15
1,1,2,1747,1726,2030,2005,United,186,25,21,IAH,1190,15,22
1,1,2,2246,2144,14,2329,United,189,45,62,DEN,1452,7,12
1,1,2,1330,1305,1609,1525,American,195,44,25,DFW,1172,6,18
1,1,2,649,635,946,855,American,197,51,14,DFW,1172,17,23
1,1,2,2040,1925,2327,2212,United,203,75,75,SAT,1362,11,13
1,1,2,1817,1757,2314,2247,United,210,27,20,SJU,1571,6,21
1,1,2,1020,930,1515,1424,United,217,51,50,STT,1605,5,13
1,1,2,1938,1805,2149,2023,United,231,86,93,ABQ,1628,7,13
1,1,2,1706,1700,2005,2003,United,283,2,6,PHX,1956,6,10
1,1,2,1743,1730,1953,1944,United,283,9,13,LAS,2066,6,21
1,1,2,903,825,1121,1105,United,295,16,38,LAX,2288,7,16
1,1,2,1802,1740,2035,2010,United,299,25,22,LAX,2288,16,18
1,1,2,1907,1900,2141,2139,United,305,2,7,LAX,2288,17,12
1,1,2,1800,1730,2024,2006,United,305,18,30,SAN,2253,2,17
1,1,2,2149,2136,16,20,United,306,-4,13,LAX,2288,7,14
1,1,2,1750,1710,2025,2010,United,308,15,40,SFO,2419,5,22
1,1,2,1501,1425,1734,1659,United,313,35,36,SAN,2253,2,18
1,1,2,1430,1415,1707,1653,JetBlue,313,14,15,LGB,2277,7,17
1,1,2,952,930,1226,1215,United,315,11,22,LAX,2288,7,12
1,1,2,1758,1725,2041,2010,United,315,31,33,SEA,2306,7,21
1,1,2,1313,1228,1543,1533,United,316,10,45,SFO,2419,5,9
1,1,2,736,700,1015,1000,United,317,15,36,SFO,2419,6,16
1,1,2,1746,1735,2031,2022,JetBlue,319,9,11,LGB,2277,7,19
1,1,2,1125,805,1411,1112,JetBlue,320,179,200,OAK,2408,5,21
1,1,2,2039,2025,2315,2325,United,321,-10,14,OAK,2408,6,9
1,1,2,1246,1235,1528,1510,United,322,18,11,LAX,2288,6,14
1,1,2,825,819,1116,1119,United,322,-3,6,SFO,2419,11,18
1,1,2,1752,1745,2037,2037,United,326,0,7,SMF,2358,4,15
1,1,2,1822,1635,2113,1940,United,326,93,107,SFO,2419,5,20
1,1,2,2042,2035,2336,2330,JetBlue,326,6,7,OAK,2408,15,13
1,1,2,911,855,1216,1200,United,332,16,16,SFO,2419,20,13
1,1,2,1848,1810,2143,2101,United,333,42,38,PDX,2327,6,16
1,1,2,2147,2130,37,25,United,334,12,17,SFO,2419,3,13
1,1,2,2026,1930,2344,2230,United,346,74,56,SFO,2419,8,24
1,2,3,1801,1700,1901,1805,United,29,56,61,ROA,177,5,26
1,2,3,2018,1715,2115,1806,United,30,189,183,MDT,94,9,18
1,2,3,2237,2205,2319,2305,United,30,14,32,ORF,157,3,9
1,2,3,1610,1435,1710,1535,United,32,95,95,ORF,157,5,23
1,2,3,913,850,1016,953,United,34,23,23,PIT,183,9,20
1,2,3,1408,1313,1511,1416,United,36,55,55,PIT,183,6,21
1,2,3,1245,1217,1337,1318,United,37,19,28,ORF,157,2,13
1,2,3,1943,1715,2047,1827,United,37,140,148,PHL,134,10,17
1,2,3,2209,2145,2307,2250,United,38,17,24,RDU,224,7,13
1,2,3,1839,1730,1933,1842,United,39,51,69,RDU,224,4,11
1,2,3,1551,1530,1704,1635,United,40,29,21,RDU,224,13,20
1,2,3,1130,1100,1241,1210,United,43,31,30,EWR,213,7,21
1,2,3,1318,1235,1416,1340,United,43,36,43,RDU,224,5,10
1,2,3,1831,1659,2004,1829,United,47,95,92,EWR,213,7,39
1,2,3,749,720,847,830,United,47,17,29,LGA,229,4,7
1,2,3,2318,2155,32,2308,United,49,84,83,CLE,288,9,16
1,2,3,700,600,813,716,JetBlue,50,57,60,JFK,228,7,16
1,2,3,1651,1450,1921,1615,United,51,186,121,EWR,213,7,92
1,2,3,1707,1655,1821,1813,United,51,8,12,SYR,296,12,11
1,2,3,834,825,945,941,United,52,4,9,CLE,288,5,14
1,2,3,1908,1805,2045,1929,United,53,76,63,LGA,229,8,36
1,2,3,1535,1220,1648,1329,United,54,199,195,SYR,296,3,16
1,2,3,842,835,1004,959,United,55,5,7,LGA,229,8,19
1,2,3,40,2155,200,2316,United,56,164,165,CAE,401,3,21
1,2,3,1740,1725,2000,1851,United,56,69,15,CLE,288,21,63
1,2,3,1613,1225,1818,1349,United,56,269,228,LGA,229,30,39
1,2,3,1245,1215,1405,1337,United,56,28,30,PVD,372,3,21
1,2,3,2234,2010,2353,2131,United,57,142,144,CAE,401,3,19
1,2,3,1614,1230,1733,1400,United,58,213,224,CAE,401,3,18
1,2,3,1711,1645,1826,1815,United,58,11,26,CAE,401,3,14
1,2,3,2020,1945,2143,2120,JetBlue,58,23,35,JFK,228,4,21
1,2,3,840,814,955,941,United,59,14,26,GSP,383,5,11
1,2,3,1556,1230,1727,1357,United,62,210,206,GSP,383,5,24
1,2,3,2157,2145,2318,2312,United,62,6,12,GSP,383,4,15
1,2,3,1710,1702,1848,1829,United,62,19,8,GSP,383,4,32
1,2,3,853,812,1024,942,United,63,42,41,CAE,401,2,26
1,2,3,2211,2205,5,2346,United,64,19,6,CHS,441,6,44
1,2,3,1400,1353,1530,1516,United,64,14,7,CLT,321,6,20
1,2,3,1729,1605,1908,1800,Delta,64,68,84,DTW,383,16,19
1,2,3,1220,857,1355,1028,United,66,207,203,CLT,321,10,19
1,2,3,1454,1435,1630,1609,United,67,21,19,BOS,413,5,24
1,2,3,1218,1045,1347,1207,American,68,100,93,CLT,321,7,14
1,2,3,2218,2136,2349,2306,United,69,43,42,BOS,413,2,20
1,2,3,1722,1700,1902,1847,United,72,15,22,CHS,441,6,22
1,2,3,2030,1655,2208,1838,United,72,210,215,SAV,515,5,21
1,2,3,1703,1634,1845,1834,United,76,11,29,ATL,533,12,14
1,2,3,1248,1219,1430,1402,United,76,28,29,SAV,515,3,23
1,2,3,1832,1743,2009,1930,Southwest,78,39,49,ATL,533,7,12
1,2,3,1246,1230,1427,1426,Delta,79,1,16,ATL,533,5,17
1,2,3,1827,1640,1912,1735,United,80,97,107,BNA,542,10,15
1,2,3,1525,1458,1704,1645,Southwest,82,19,27,ATL,533,9,8
1,2,3,2026,1647,2106,1747,United,84,199,219,BHM,638,2,14
1,2,3,1858,1825,1944,1935,United,87,9,33,HSV,595,3,16
1,2,3,2346,2145,30,2246,United,87,104,121,ORD,589,5,12
1,2,3,936,930,1102,1030,Southwest,89,32,6,MDW,577,42,15
1,2,3,1110,1045,1200,1145,Southwest,91,15,25,MDW,577,9,10
1,2,3,1549,1505,1636,1605,Southwest,91,31,44,MDW,577,7,9
1,2,3,1256,1215,1349,1310,United,92,39,41,HSV,595,3,18
1,2,3,2119,2100,2204,2200,Southwest,93,4,19,MDW,577,5,7
1,2,3,948,815,1141,1021,United,95,80,93,JAX,631,4,14
1,2,3,1447,1435,1559,1553,United,95,6,12,ORD,589,8,29
1,2,3,1240,1225,1348,1337,United,95,11,15,ORD,589,5,28
1,2,3,1222,1207,1417,1413,United,96,4,15,JAX,631,4,15
1,2,3,1830,1720,1923,1820,Southwest,96,63,70,MDW,577,8,9
1,2,3,2012,1649,2115,1756,United,97,199,203,SPI,657,7,19
1,2,3,2100,1940,2309,2152,United,107,77,80,MCO,758,6,16
1,2,3,1910,1854,2114,2110,Southwest,108,4,16,MCO,758,6,10
1,2,3,1704,1655,1915,1910,United,109,5,9,MCO,758,7,15
1,2,3,954,940,1205,1200,Southwest,113,5,14,MCO,758,4,14
1,2,3,2104,1955,2315,2225,Southwest,115,50,69,TPA,810,2,14
1,2,3,1508,1436,1726,1651,United,116,35,32,MCO,758,7,15
1,2,3,1147,1132,1401,1348,Southwest,117,13,15,MCO,758,8,9
1,2,3,1246,1215,1510,1436,United,125,34,31,TPA,810,5,14
1,2,3,845,820,1119,1041,United,129,38,25,TPA,810,4,21
1,2,3,641,630,813,815,Delta,129,-2,11,MSP,908,6,17
1,2,3,2006,1700,2144,1850,United,130,174,186,MCI,926,7,21
1,2,3,1658,1640,1934,1920,JetBlue,130,14,18,FLL,901,9,17
1,2,3,1852,1650,2128,1926,United,132,122,122,FLL,901,7,17
1,2,3,1746,1723,1941,1915,Delta,136,26,23,MSP,908,24,15
1,2,3,1430,1420,1606,1606,Delta,138,0,10,MSP,908,6,12
1,2,3,1715,1705,1858,1857,United,143,1,10,MSY,954,7,13
1,2,3,1555,1440,1845,1720,JetBlue,146,85,75,FLL,901,9,15
1,2,3,606,600,859,835,American,149,24,6,MIA,921,10,14
1,2,3,1054,1015,1411,1253,JetBlue,151,78,39,FLL,901,7,39
1,2,3,2032,1705,2224,1930,American,156,174,207,DFW,1172,6,10
1,2,3,1713,1655,1927,1926,United,158,1,18,IAH,1190,8,28
1,2,3,1950,1930,2144,2150,American,161,-6,20,DFW,1172,4,9
1,2,3,1331,1305,1529,1525,American,164,4,26,DFW,1172,6,8
1,2,3,1738,1716,1955,1955,United,169,0,22,IAH,1190,11,17
1,2,3,643,635,855,855,American,176,0,8,DFW,1172,6,10
1,2,3,841,835,1110,1106,United,177,4,6,IAH,1190,5,27
1,2,3,943,842,1204,1118,United,180,46,61,AUS,1297,7,14
1,2,3,1942,1925,2200,2212,United,180,-12,17,SAT,1362,5,13
1,2,3,1745,1730,1936,1921,United,194,15,15,DEN,1452,17,20
1,2,3,2151,2144,2326,2329,United,198,-3,7,DEN,1452,5,12
1,2,3,945,843,1126,1045,United,201,41,62,DEN,1452,7,13
1,2,3,1456,1440,1638,1632,United,206,6,16,DEN,1452,5,11
1,2,3,1615,1608,1806,1803,United,210,3,7,DEN,1452,10,11
1,2,3,1832,1757,2325,2247,United,213,38,35,SJU,1571,6,14
1,2,3,1606,1545,1836,1832,Delta,250,4,21,SLC,1827,5,15
1,2,3,1806,1730,2005,1944,United,275,21,36,LAS,2066,7,17
1,2,3,1038,930,1258,1215,United,283,43,68,LAX,2288,8,29
1,2,3,1829,1740,2057,2010,United,291,47,49,LAX,2288,11,26
1,2,3,1849,1730,2109,2009,JetBlue,295,60,79,SAN,2253,3,22
1,2,3,2039,1730,2257,2006,United,296,171,189,SAN,2253,8,14
1,2,3,1926,1900,2144,2139,United,297,5,26,LAX,2288,9,12
1,2,3,1729,1720,1948,1955,American,297,-7,9,LAX,2288,12,10
1,2,3,842,818,1058,1052,United,298,6,24,SAN,2253,1,17
1,2,3,1757,1735,2019,2022,JetBlue,299,-3,22,LGB,2277,4,19
1,2,3,1459,1425,1725,1659,United,302,26,34,SAN,2253,3,21
1,2,3,1244,1235,1511,1510,United,303,1,9,LAX,2288,7,17
1,2,3,713,700,937,940,JetBlue,303,-3,13,LGB,2277,8,13
1,2,3,1641,1635,1911,1940,United,313,-29,6,SFO,2419,3,14
1,2,3,2138,1930,15,2230,United,317,105,128,SFO,2419,7,13
1,2,3,2055,2035,2347,2330,JetBlue,317,17,20,OAK,2408,19,16
1,2,3,835,825,1121,1105,United,320,16,10,LAX,2288,8,18
1,2,3,1755,1745,2039,2037,United,322,2,10,SMF,2358,4,18
1,2,3,1300,1228,1544,1533,United,323,11,32,SFO,2419,4,17
1,2,3,923,819,1235,1119,United,323,76,64,SFO,2419,33,16
1,2,3,1512,1425,1754,1730,United,324,24,47,SFO,2419,6,12
1,2,3,2214,2130,105,25,United,332,40,44,SFO,2419,5,14
1,2,3,1737,1725,2035,2010,United,338,25,12,SEA,2306,6,14
1,2,3,2129,1855,47,2157,United,354,170,154,SJC,2400,6,18
1,3,4,2302,2205,2350,2305,United,32,45,57,ORF,157,2,14
1,3,4,1328,1313,1440,1416,United,37,24,15,PIT,183,4,31
1,3,4,2230,2145,2327,2250,United,37,37,45,RDU,224,7,13
1,3,4,708,700,823,814,United,43,9,8,EWR,213,9,23
1,3,4,4,2150,107,2314,United,46,113,134,CLT,321,4,13
1,3,4,1909,1700,2036,1847,United,47,109,129,CHS,441,34,6
1,3,4,744,720,853,830,United,47,23,24,LGA,229,3,19
1,3,4,1704,1655,1813,1813,United,48,0,9,SYR,296,4,17
1,3,4,747,645,904,809,United,51,55,62,CLE,288,7,19
1,3,4,1122,1050,1236,1203,JetBlue,52,33,32,JFK,228,5,17
1,3,4,1355,1345,1514,1500,JetBlue,53,14,10,JFK,228,4,22
1,3,4,1820,1725,1942,1851,United,54,51,55,CLE,288,6,22
1,3,4,1830,1645,1945,1815,United,57,90,105,CAE,401,3,15
1,3,4,851,845,1020,1003,United,63,17,6,BDL,326,6,20
1,3,4,904,855,1029,1029,American,63,0,9,CLT,321,3,19
1,3,4,2313,2145,45,2314,United,64,91,88,DTW,383,6,22
1,3,4,2211,2055,2336,2224,JetBlue,64,72,76,BOS,413,3,18
1,3,4,2150,2136,2319,2306,United,66,13,14,BOS,413,5,18
1,3,4,903,857,1044,1028,United,67,16,6,CLT,321,5,29
1,3,4,1719,1700,1850,1842,United,67,8,19,DTW,383,7,17
1,3,4,1344,1219,1514,1402,United,69,72,85,SAV,515,4,17
1,3,4,1001,835,1137,1009,United,70,88,86,DTW,383,6,20
1,3,4,954,935,1125,1127,Delta,71,-2,19,ATL,533,8,12
1,3,4,1242,1235,1416,1429,Delta,72,-13,7,DTW,383,8,14
1,3,4,1657,1648,1839,1822,United,74,17,9,BOS,413,6,22
1,3,4,846,840,1021,1008,United,74,13,6,BOS,413,6,15
1,3,4,607,600,741,758,Delta,74,-17,7,ATL,533,8,12
1,3,4,1546,1526,1723,1719,Delta,74,4,20,ATL,533,10,13
1,3,4,1239,1230,1419,1426,Delta,75,-7,9,ATL,533,8,17
1,3,4,1105,1058,1234,1250,Delta,75,-16,7,ATL,533,6,8
1,3,4,1759,1743,1930,1930,Southwest,76,0,16,ATL,533,5,10
1,3,4,1508,1458,1643,1645,Southwest,78,-2,10,ATL,533,8,9
1,3,4,1740,1655,1920,1838,United,79,42,45,SAV,515,4,17
1,3,4,1652,1640,1755,1735,United,81,20,12,BNA,542,9,33
1,3,4,840,830,1031,1001,United,83,30,10,PWM,494,3,25
1,3,4,2333,2145,23,2247,United,87,96,108,ORD,589,7,16
1,3,4,1903,1720,1955,1820,Southwest,88,95,103,MDW,577,17,7
1,3,4,639,630,726,725,Southwest,91,1,9,MDW,577,6,10
1,3,4,806,755,911,904,United,93,7,11,ORD,589,7,25
1,3,4,1100,1045,1148,1145,Southwest,93,3,15,MDW,577,7,8
1,3,4,947,930,1034,1030,Southwest,94,4,17,MDW,577,6,7
1,3,4,2302,2100,2351,2200,Southwest,97,111,122,MDW,577,4,8
1,3,4,1728,1710,1829,1828,United,99,1,18,ORD,589,6,16
1,3,4,901,850,1112,1108,United,102,4,11,MCO,758,5,24
1,3,4,956,940,1153,1200,Southwest,103,-7,16,MCO,758,6,8
1,3,4,752,735,1009,950,JetBlue,104,19,17,MCO,758,8,25
1,3,4,1908,1825,2116,2050,JetBlue,104,26,43,MCO,758,6,18
1,3,4,1453,1436,1656,1651,United,107,5,17,MCO,758,4,12
1,3,4,2110,1940,2323,2152,United,108,91,90,MCO,758,4,21
1,3,4,1520,1450,1723,1710,Southwest,108,13,30,MCO,758,7,8
1,3,4,2202,2135,10,2356,United,112,14,27,TPA,810,3,13
1,3,4,754,735,1002,1000,Southwest,113,2,19,TPA,810,5,10
1,3,4,2003,1955,2211,2225,Southwest,116,-14,8,TPA,810,4,8
1,3,4,1031,1015,1312,1253,JetBlue,124,19,16,FLL,901,24,13
1,3,4,1600,1440,1837,1720,JetBlue,125,77,80,FLL,901,6,26
1,3,4,1700,1650,1941,1926,United,127,15,10,FLL,901,11,23
1,3,4,1959,840,2131,1028,Delta,136,663,679,MSP,908,7,9
1,3,4,1718,1705,1925,1930,American,159,-5,13,DFW,1172,13,15
1,3,4,1325,1305,1527,1525,American,161,2,20,DFW,1172,8,13
1,3,4,1944,1930,2144,2150,American,164,-6,14,DFW,1172,5,11
1,3,4,704,635,908,855,American,166,13,29,DFW,1172,7,11
1,3,4,807,740,1016,1000,United,168,16,27,IAH,1190,6,15
1,3,4,1738,1716,2001,1955,United,168,6,22,IAH,1190,12,23
1,3,4,631,600,846,840,United,169,6,31,IAH,1190,7,19
1,3,4,1753,1730,1945,1921,United,194,24,23,DEN,1452,17,21
1,3,4,655,600,840,750,United,198,50,55,DEN,1452,5,22
1,3,4,2242,2144,25,2329,United,200,56,58,DEN,1452,9,14
1,3,4,1521,1440,1707,1632,United,202,35,41,DEN,1452,8,16
1,3,4,946,930,1451,1424,United,227,27,16,STT,1605,5,13
1,3,4,1811,1805,2021,2023,United,229,-2,6,ABQ,1628,6,15
1,3,4,749,730,1026,1024,Delta,257,2,19,SLC,1827,8,12
1,3,4,1725,1704,2017,2018,American,275,-1,21,PHX,1956,4,13
1,3,4,2050,1955,2256,2210,JetBlue,282,46,55,LAS,2066,9,15
1,3,4,1756,1730,2018,1944,United,300,34,26,LAS,2066,6,16
1,3,4,1748,1740,2010,2010,United,301,0,8,LAX,2288,6,15
1,3,4,1443,1415,1704,1653,JetBlue,308,11,28,LGB,2277,3,10
1,3,4,1825,1730,2047,2006,United,309,41,55,SAN,2253,4,9
1,3,4,707,700,943,1000,United,310,-17,7,SFO,2419,7,19
1,3,4,706,700,942,935,United,310,7,6,LAX,2288,11,15
1,3,4,2149,2136,31,20,United,313,11,13,LAX,2288,14,15
1,3,4,1804,1730,2039,2009,JetBlue,313,30,34,SAN,2253,2,20
1,3,4,1958,1725,2233,2010,United,315,143,153,SEA,2306,6,14
1,3,4,834,825,1139,1105,United,319,34,9,LAX,2288,22,24
1,3,4,830,819,1123,1109,United,321,14,11,SEA,2306,7,25
1,3,4,1925,1900,2210,2139,United,322,31,25,LAX,2288,5,18
1,3,4,1244,1235,1543,1510,United,325,33,9,LAX,2288,5,29
1,3,4,2305,2130,158,25,United,329,93,95,SFO,2419,9,15
1,3,4,1642,1635,1940,1940,United,329,0,7,SFO,2419,9,20
1,3,4,822,805,1126,1112,JetBlue,330,14,17,OAK,2408,3,31
1,3,4,1254,1228,1612,1533,United,336,39,26,SFO,2419,8,34
1,3,4,1910,1855,2207,2157,United,340,10,15,SJC,2400,3,14
1,3,4,1951,1930,2257,2230,United,345,27,21,SFO,2419,9,12
1,3,4,1522,1425,1847,1730,United,352,77,57,SFO,2419,10,23
1,4,5,1711,1659,1840,1829,United,39,11,12,EWR,213,9,41
1,4,5,1350,1300,1519,1401,United,39,78,50,PHL,134,4,46
1,4,5,1755,1715,1912,1827,United,41,45,40,PHL,134,8,28
1,4,5,1706,1655,1819,1813,United,47,6,11,SYR,296,4,22
1,4,5,2325,2150,31,2314,United,48,77,95,CLT,321,5,13
1,4,5,1354,1220,1457,1329,United,50,88,94,SYR,296,3,10
1,4,5,845,835,1004,959,United,52,5,10,LGA,229,6,21
1,4,5,1039,857,1153,1028,United,54,85,102,CLT,321,5,15
1,4,5,2243,2155,2358,2313,United,54,45,48,BDL,326,5,16
1,4,5,854,845,1008,1003,United,55,5,9,BDL,326,4,15
1,4,5,903,855,1026,1029,American,56,-3,8,CLT,321,6,21
1,4,5,1247,1230,1400,1400,United,58,0,17,CAE,401,3,12
1,4,5,1222,1215,1358,1349,United,68,9,7,DTW,383,5,23
1,4,5,1301,1235,1445,1429,Delta,70,16,26,DTW,383,18,16
1,4,5,1643,1435,1816,1609,United,72,127,128,BOS,413,7,14
1,4,5,1710,1700,1850,1847,United,72,3,10,CHS,441,5,23
1,4,5,1737,1634,1928,1834,United,82,54,63,ATL,533,7,22
1,4,5,1708,1655,1911,1838,United,85,33,13,SAV,515,4,34
1,4,5,2110,2100,2156,2200,Southwest,90,-4,10,MDW,577,5,11
1,4,5,1858,1720,1945,1820,Southwest,92,85,98,MDW,577,6,9
1,4,5,1647,1436,1841,1651,United,99,110,131,MCO,758,4,11
1,4,5,1257,1245,1457,1500,United,103,-3,12,MCO,758,5,12
1,4,5,745,735,949,950,JetBlue,104,-1,10,MCO,758,4,16
1,4,5,1846,1825,2050,2050,JetBlue,104,0,21,MCO,758,4,16
1,4,5,2141,2135,2339,2356,United,105,-17,6,TPA,810,3,10
1,4,5,1709,1435,1852,1553,United,106,179,154,ORD,589,5,52
1,4,5,2002,1955,2208,2225,Southwest,108,-17,7,TPA,810,4,14
1,4,5,1837,1745,2040,2006,United,109,34,52,TPA,810,4,10
1,4,5,1716,1650,1944,1926,United,123,18,26,FLL,901,9,16
1,4,5,1036,1015,1320,1253,JetBlue,132,27,21,FLL,901,4,28
1,4,5,1729,1723,1930,1915,Delta,134,15,6,MSP,908,25,22
1,4,5,1543,1440,1825,1720,JetBlue,135,65,63,FLL,901,12,15
1,4,5,1713,1705,1850,1857,United,136,-7,8,MSY,954,6,15
1,4,5,607,600,846,835,American,136,11,7,MIA,921,9,14
1,4,5,912,835,1149,1106,United,173,43,37,IAH,1190,13,31
1,4,5,1723,1655,1950,1926,United,178,24,28,IAH,1190,12,17
1,4,5,1011,842,1233,1118,United,179,75,89,AUS,1297,6,17
1,4,5,2100,1925,2320,2212,United,184,68,95,SAT,1362,4,12
1,4,5,759,750,1226,1230,American,194,-4,9,SJU,1571,5,8
1,4,5,1803,1730,1949,1921,United,197,28,33,DEN,1452,7,22
1,4,5,846,815,1323,1305,United,198,18,31,SJU,1571,4,15
1,4,5,2253,2144,34,2329,United,200,65,69,DEN,1452,6,15
1,4,5,609,600,750,750,United,201,0,9,DEN,1452,7,13
1,4,5,1810,1757,2254,2247,United,206,7,13,SJU,1571,5,13
1,4,5,1027,1000,1215,1155,United,210,20,27,DEN,1452,9,9
1,4,5,1025,930,1516,1424,United,210,52,55,STT,1605,5,16
1,4,5,1817,1805,2031,2023,United,233,8,12,ABQ,1628,5,16
1,4,5,2023,1955,2235,2210,JetBlue,288,25,28,LAS,2066,8,16
1,4,5,1759,1730,2017,1944,United,293,33,29,LAS,2066,9,16
1,4,5,857,830,1108,1044,United,294,24,27,LAS,2066,3,14
1,4,5,1443,1425,1718,1659,United,317,19,18,SAN,2253,3,15
1,4,5,839,818,1120,1052,United,318,28,21,SAN,2253,2,21
1,4,5,2258,2136,139,20,United,319,79,82,LAX,2288,8,14
1,4,5,1816,1740,2107,2010,United,319,57,36,LAX,2288,13,19
1,4,5,1949,1725,2231,2010,United,320,141,144,SEA,2306,5,17
1,4,5,835,819,1121,1109,United,322,12,16,SEA,2306,6,18
1,4,5,1501,1450,1743,1725,United,324,18,11,LAX,2288,8,10
1,4,5,707,700,955,940,JetBlue,324,15,7,LGB,2277,6,18
1,4,5,2108,1810,5,2101,United,325,184,178,PDX,2327,12,20
1,4,5,2031,1640,22,1920,United,326,302,231,LAX,2288,60,25
1,4,5,732,700,1139,1000,United,331,99,32,SFO,2419,61,35
1,4,5,1738,1720,2049,1955,American,331,54,18,LAX,2288,15,25
1,4,5,1030,700,1330,935,United,332,235,210,LAX,2288,9,19
1,4,5,937,930,1232,1215,United,333,17,7,LAX,2288,9,13
1,4,5,1822,1745,2124,2037,United,341,47,37,SMF,2358,5,16
1,4,5,2103,2025,4,2320,JetBlue,341,44,38,OAK,2408,7,13
1,4,5,815,805,1119,1112,JetBlue,344,7,10,OAK,2408,3,17
1,4,5,2129,1900,136,2139,United,345,237,149,LAX,2288,66,16
1,4,5,2212,2025,122,2325,United,349,117,107,OAK,2408,5,16
1,4,5,1247,1228,1618,1533,United,352,45,19,SFO,2419,11,28
1,4,5,1949,1855,2306,2157,United,357,69,54,SJC,2400,6,14
1,4,5,1656,1425,2016,1730,United,361,166,151,SFO,2419,6,13
1,5,6,1713,1705,1804,1810,United,32,-6,8,ROA,177,3,16
1,5,6,846,820,935,920,United,33,15,26,ROA,177,3,13
1,5,6,1231,1217,1320,1318,United,34,2,14,ORF,157,3,12
1,5,6,1015,850,1110,953,United,35,77,85,PIT,183,5,15
1,5,6,1329,1313,1424,1416,United,37,8,16,PIT,183,4,14
1,5,6,2221,2200,2322,2304,United,38,18,21,PIT,183,3,20
1,5,6,1825,1730,1919,1842,United,38,37,55,RDU,224,3,13
1,5,6,1501,1435,1610,1535,United,39,35,26,ORF,157,1,29
